#;NUMERO;STATUS;ED;DESCRICAO;R”TULOS;CARGA ATUAL;SETOR DO RESPONS¡VEL;CAMPUS DO RESPONS¡VEL;CAMPUS DA CARGA;VALOR;NUMERO NOTA FISCAL;DATA DA ENTRADA;DATA DA CARGA;FORNECEDOR;SALA;ESTADO DE CONSERVA«√O;NUMERO DE SERIE
1;445;ativo;123110303;"EM ACO C/4 GAVETAS NA COR VERDE OLIVA.
 [Tipo de Ingresso:Doacao]
 [ARQUIVO- Antigo Classificador:14212426403]
 [Arquivo - Novo Classificador:12311-0303-0004]";SCL-CTI;Andre Luis Tardelli Magalhaes;CTI-SCL;SCL;SCL;0.01;-;19/06/1998 00:00:00;26/04/2016;-;-;N„o aplicar;
2;454;ativo;123110303;"EM ACO C/4 GAVETAS NA COR VERDE OLIVA. FORNECIDO POR: IGPECOGRAPH - MAQ.DEENDERECAR LTDA.
 [Marca/Modelo:IGPECO]
 [Tipo de Ingresso:Doacao]
 [ARQUIVO- Antigo Classificador:14212426403]
 [Arquivo - Novo Classificador:12311-0303-0004]";SCL-DRG;Danilo Augusto Moschetto;CTADS-SCL;SCL;SCL;0.01;-;19/06/1998 00:00:00;26/04/2016;-;B103;N„o aplicar;
3;2990;ativo;123110303;"EM TUBO METALICO CONTRA FERRUGEM ESMALTADO SINTETICO PRETO FOSCO PRAT.MAD.LOURO FORNECIDO POR: PRODEM - JOSE SOARESS/A EQUIP.CIENT.
 [Marca/Modelo:J.S.]
 [Nota Fiscal:4836]
 [Tipo de Ingresso:Doacao]
 [ESTANTE.- Antigo Classificador:14212426420]
 [Estante. - Novo Classificador:12311-0303-0021]";SCL-CLT;Anderson Luis Petroni;CLT-SCL;SCL;SCL;0.01;4836;19/06/1998 00:00:00;26/04/2016;-;-;N„o aplicar;
4;2997;ativo;123110303;"EM TUBO METALICO CONTRA FERRUGEM ESMALTADO SINTETICO PRETO FOSCO PRAT.MAD.LOURO FORNECIDO POR: PRODEM - JOSE SOARESS/A EQUIP.CIENT.
 [Marca/Modelo:J.S.]
 [Nota Fiscal:4836]
 [Tipo de Ingresso:Doacao]
 [ESTANTE.- Antigo Classificador:14212426420]
 [Estante. - Novo Classificador:12311-0303-0021]";SCL-CLT;Anderson Luis Petroni;CLT-SCL;SCL;SCL;0.01;4836;19/06/1998 00:00:00;26/04/2016;-;-;N„o aplicar;
5;3005;ativo;123110303;"EM TUBO METALICO CONTRA FERRUGEM ESMALTADO SINTETICO PRETO FOSCO PRAT.MAD.LOURO FORNECIDO POR: PRODEM - JOSE SOARESS/A EQUIP.CIENT.
 [Marca/Modelo:J.S.]
 [Nota Fiscal:4836]
 [Tipo de Ingresso:Doacao]
 [ESTANTE.- Antigo Classificador:14212426420]
 [Estante. - Novo Classificador:12311-0303-0021]";SCL-CLT;Anderson Luis Petroni;CLT-SCL;SCL;SCL;0.01;4836;19/06/1998 00:00:00;26/04/2016;-;-;N„o aplicar;
6;3031;ativo;123110303;"EM TUBO METALICO CONTRA FERRUGEM ESMALTADO SINTETICO PRETO FOSCO PRAT.MAD.LOURO FORNECIDO POR: PRODEM - JOSE SOARESS/A EQUIP.CIENT.
 [Marca/Modelo:J.S.]
 [Nota Fiscal:4836]
 [Tipo de Ingresso:Doacao]
 [ESTANTE.- Antigo Classificador:14212426420]
 [Estante. - Novo Classificador:12311-0303-0021]";SCL-CLT;Anderson Luis Petroni;CLT-SCL;SCL;SCL;0.01;4836;19/06/1998 00:00:00;26/04/2016;-;-;N„o aplicar;
7;3042;baixado;123110303;"EM TUBO METALICO CONTRA FERRUGEM ESMALTADO SINTETICO PRETO FOSCO PRAT.MAD.LOURO FORNECIDO POR: PRODEM - JOSE SOARESS/A EQUIP.CIENT.
 [Marca/Modelo:J.S.]
 [Nota Fiscal:4836]
 [Tipo de Ingresso:Doacao]
 [ESTANTE.- Antigo Classificador:14212426420]
 [Estante. - Novo Classificador:12311-0303-0021]";-;-;-;-;SCL;0.01;4836;19/06/1998 00:00:00;26/04/2016;-;-;IrreversÌvel;
8;5898;baixado;123110303;"P/TERMINAL C/TECLA DESTAC.S/BAU C/TAMPO DIMENS„O: 72 X100X95 FORNECIDO POR: ACECO -ACES.E EQUIPSCOMPUTADORES LTDA.
 [Marca/Modelo:ACECO]
 [Nota Fiscal:14627]
 [Empenho:391]
 [Tipo de Ingresso:Doacao]
 [MESA- Antigo Classificador:14212426427]
 [Mesa - Novo Classificador:12311-0303-0028]";-;-;-;-;SCL;0.01;14627;18/06/1997 00:00:00;26/04/2016;-;-;IrreversÌvel;
9;9400;ativo;123110303;"DE ACO C/4 GAVETOES, FRENTE EM MADEIRA CEREJEIRA. FORNECIDO POR: VIEMOVEIS COM.MAQS.EMOVEIS P/ESCRIT.LTDA
 [Marca/Modelo:FORTA]
 [Nota Fiscal:132]
 [Empenho:676]
 [Tipo de Ingresso:Doacao]
 [ARQUIVO- Antigo Classificador:14212426403]
 [Arquivo - Novo Classificador:12311-0303-0004]";SCL-DAA;Elisangela Vieira Andrade;DAA-SCL;SCL;SCL;0.01;132;05/08/1988 00:00:00;26/04/2016;-;-;N„o aplicar;
10;9904;ativo;123110303;"P/MICROCOMPUTADOR C/SUPORTE,TECLADO REGU FORNECIDO POR: ACECO PRODUTOS P/ESCRIT.E INFORMAT.LTDA.
 [Marca/Modelo:ACECO]
 [Nota Fiscal:35483]
 [Empenho:1543]
 [Tipo de Ingresso:Doacao]
 [MESA- Antigo Classificador:14212426427]
 [Mesa - Novo Classificador:12311-0303-0028]";SCL-DRG;Rivelli da Silva Pinto;DRG/SCL;SCL;SCL;0.01;35483;29/04/1993 00:00:00;26/04/2016;-;B103;N„o aplicar;
